,Survived,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone,Age*Class
0,0,3,0,0.0,3,0,1,0,0.0
1,1,2,0,0.0,3,0,4,0,0.0
2,0,3,1,0.0,3,0,2,0,0.0
3,1,3,0,1.0,3,0,1,1,3.0
4,0,3,1,2.0,1,0,2,1,6.0
5,1,1,0,,3,0,1,1,
6,0,3,1,1.0,1,0,2,1,3.0
7,0,3,0,1.0,0,2,1,1,3.0
8,0,1,0,,2,1,1,1,
9,1,3,0,1.0,1,0,1,1,3.0
10,0,1,0,,3,1,1,1,
11,0,3,1,2.0,1,0,3,0,6.0
12,1,3,1,,0,2,2,1,
13,0,3,0,2.0,2,2,1,0,6.0
14,0,3,0,,0,2,1,1,
15,1,1,0,2.0,2,0,1,1,2.0
16,0,3,0,1.0,1,0,1,1,3.0
17,0,1,0,,3,0,1,1,
18,0,3,0,0.0,3,0,4,0,0.0
19,0,3,0,1.0,1,0,1,1,3.0
20,0,3,0,1.0,1,0,1,1,3.0
21,0,3,1,1.0,2,0,3,0,3.0
22,0,3,0,1.0,0,0,1,1,3.0
23,0,2,0,2.0,2,0,1,1,4.0
24,1,1,0,,2,0,1,1,
25,0,3,0,,0,2,1,1,
26,0,2,0,1.0,1,0,1,1,2.0
27,1,1,1,1.0,3,0,2,0,1.0
28,1,1,1,2.0,3,0,3,0,2.0
29,0,2,1,1.0,2,0,3,0,2.0
30,1,1,1,3.0,3,1,3,0,3.0
31,0,3,1,1.0,1,0,2,0,3.0
32,1,3,1,1.0,2,1,3,0,3.0
33,0,2,0,66.0,1,0,1,1,132.0
34,0,3,0,,1,0,1,1,
35,0,3,0,,0,1,1,1,
36,1,2,1,1.0,1,0,2,0,2.0
37,1,3,0,0.0,3,0,4,0,0.0
38,0,2,0,1.0,1,0,1,1,2.0
39,0,1,0,1.0,3,1,1,1,1.0
40,1,3,0,1.0,0,1,1,1,3.0
41,1,3,0,1.0,0,0,1,1,3.0
42,1,3,1,,0,2,2,1,
43,1,2,1,0.0,2,0,2,0,0.0
44,0,3,0,2.0,0,0,1,1,6.0
45,1,2,1,1.0,2,0,3,0,2.0
46,0,3,0,,3,0,1,0,
47,0,2,0,1.0,1,0,1,1,2.0
48,0,3,0,,2,2,1,1,
49,0,3,1,0.0,2,1,2,0,0.0
50,1,2,1,3.0,2,0,3,0,6.0
51,1,1,1,1.0,3,1,2,1,1.0
52,0,3,0,,0,1,1,1,
53,1,1,1,1.0,3,1,3,1,1.0
54,0,1,0,71.0,3,1,1,1,71.0
55,1,3,1,1.0,2,0,3,0,3.0
